New Matte Lipstick No.07 Brooke Candy,₱35.00,1 Ratings,Watch you think,https://www.lazada.com.ph/products/new-matte-lipstick-no07-brooke-candy-i963952241-s3177162128.html?spm=a2o4l.searchlist.list.1.6e257c7cCYee7Z&search=1,//ph-test-11.slatic.net/p/6d5f189b0f2712a5ff40521e5646d25d.jpg
SALE!!! High Quality Wow Romantic Lip Tattoo Long Lasting Waterproof/ PHILIPPINES NO.1 Wow Romantic Lip Tattoo Long Lasting Waterproof Lipstick Matte Lipstick,₱49.00,No Ratings,Ziphora,https://www.lazada.com.ph/products/sale-high-quality-wow-romantic-lip-tattoo-long-lasting-waterproof-philippines-no1-wow-romantic-lip-tattoo-long-lasting-waterproof-lipstick-matte-lipstick-i2068467221-s9200402041.html?spm=a2o4l.searchlist.list.3.6e257c7cjeiACb&search=1,//ph-test-11.slatic.net/p/d2f17dc162b9b2aec55e8550ade11535.png
Maybellin Super Stay No.6 Matte Ink Liquid Lipstick,₱39.00,8 Ratings,Beautiful Forever,https://www.lazada.com.ph/products/maybellin-super-stay-no6-matte-ink-liquid-lipstick-i981832012-s3245062931.html?spm=a2o4l.searchlist.list.5.6e257c7c5X1gnI&search=1,//ph-test-11.slatic.net/p/f25dec67be2364a3fdb1b9f942766cc6.jpg
INSPIRASYON Aloe Vera Long Lasting Moisturizing Lipstick tint aloe gel Aloe Vera 99% Soothing Gel Magic Lip Balm,₱18.80,No Ratings,Inspirasyon,https://www.lazada.com.ph/products/inspirasyon-aloe-vera-long-lasting-moisturizing-lipstick-tint-aloe-gel-aloe-vera-99-soothing-gel-magic-lip-balm-i2042366634-s9042338741.html?spm=a2o4l.searchlist.list.7.6e257c7ckyPMlz&search=1,//ph-test-11.slatic.net/p/61102aebe0c108ca78fd041d3fda7ea4.png
Kryolan Lipstick Classic - LC131,₱153.00,2 Ratings,Kryolan Phils.,https://www.lazada.com.ph/products/kryolan-lipstick-classic-lc131-i1713732252-s7403318163.html?spm=a2o4l.searchlist.list.9.6e257c7c6oOw1V&search=1,//ph-test-11.slatic.net/p/d8f6d1931a2280522c7ab250c19fc783.jpg
Lip glaze moisturizing and not easy to decolor velvet matte matte lipstick lip glaze,₱39.00,2 Ratings,evd,https://www.lazada.com.ph/products/lip-glaze-moisturizing-and-not-easy-to-decolor-velvet-matte-matte-lipstick-lip-glaze-i1271056387-s4596522900.html?spm=a2o4l.searchlist.list.11.6e257c7clE3T3W&search=1,//ph-test-11.slatic.net/p/1039954f3a95b711c380b96d5e5eae43.png
( BUY 1 TAKE 1 ) Aloe Vera Magic Lipstick,₱26.60,2 Ratings,MZ wise,https://www.lazada.com.ph/products/buy-1-take-1-aloe-vera-magic-lipstick-i1933411180-s8309716415.html?spm=a2o4l.searchlist.list.13.6e257c7cqtMzV4&search=1,//ph-test-11.slatic.net/p/7eb80bfa5a237bb5da74bd56ce66b87b.jpg
CHOCHO'S LAB Switch On Silky Lipstick #05 Silky Rose,₱208.05,1 Ratings,HanManila,https://www.lazada.com.ph/products/chochos-lab-switch-on-silky-lipstick-05-silky-rose-i1838740956-s7823531937.html?spm=a2o4l.searchlist.list.15.6e257c7c71dF7W&search=1,//ph-test-11.slatic.net/p/f543f135c6ebf020a1584d7e2435e716.png
Kryolan Lipstick Classic - LC196,₱153.00,1 Ratings,Kryolan Phils.,https://www.lazada.com.ph/products/kryolan-lipstick-classic-lc196-i1713804948-s7403730114.html?spm=a2o4l.searchlist.list.17.6e257c7cZoUYx1&search=1,//ph-test-11.slatic.net/p/0466ef5329d1638a3b9b9702aa71ffde.jpg
Bstore Kiss Beauty Lipstick matte 5in1 set waterproof for skin care glossy set on sale original scrub unicorn multi colored lipstick best seller oil based Best Quality Kiss Beauty Lipstick matte 5 in 1 COLORFUL UNICORN Lipstick Set last for hours.,₱308.00,39 Ratings,Bstore Forever,https://www.lazada.com.ph/products/bstore-kiss-beauty-lipstick-matte-5in1-set-waterproof-for-skin-care-glossy-set-on-sale-original-scrub-unicorn-multi-colored-lipstick-best-seller-oil-based-best-quality-kiss-beauty-lipstick-matte-5-in-1-colorful-unicorn-lipstick-set-last-for-hours-i1860749995-s7906769395.html?spm=a2o4l.searchlist.list.19.6e257c7cZSMLhB&search=1,//ph-test-11.slatic.net/p/8611735dde33e3ef3975bae26e1dbe1a.png
